date,event,shortname,death,wounded,latitude,longitude
4/18/2015,Jalalabad Bank Bombing,Jalalabad Bank Bombing,33,100,34.434167,70.447778
4/20/2015,A minivan of UN workers was bombed by Al-Shabaab in the Puntland region of Somalia,Somalia UN Minivan Bombing,9,4,8.4,48.483333
4/27/2015, Zvornik police station terrorist attack,Zvornik Police Station Attack,2,2,44.379714,19.1023
5/3/2015,Iraq Bagdad Car Bombing,Iraq Bagdad Bombing,19,0,33.317919,44.356583
5/3/2015,Curtis Culwell Center attack,Curtis Culwell Center Attack,2,1,32.95956,-96.64191
5/3/2015,Warduj CheckPoints Overrun,Warduj CheckPoints Overrun,17,0,36.761278,71.185333
5/4/2015,Kabul Suicide Bombing of Government Bus,Kabul Suicide Bombing,1,15,34.533333,69.166667
5/10/2015,Iraq Bagdad Car Bombing,Iraq Bagdad Bombing,14,30,33.317919,44.356583
5/10/2015,Afghan government bus attack,Afghan Government Bus Attack,3,10,34.533333,69.166667
5/13/2015,Pakistan Bus Attack,Pakistan Bus Attack,45,13,24.87391,67.006986
5/14/2015,Kabul Hotel Attack,Kabul Hotel Attack,14,0,34.5327,69.17163
5/17/2015,Hamid Karzai International Airport Suicide Attack,Hamid Karzai Airport Attack,3,18,34.565833,69.212222
5/19/2015,Afhan Justice Ministry Bombing,Afhan Justice Ministry Bombing,4,42,34.533333,69.166667
5/21/2015,Misraata Checkpoint Suicide Bombing,Misraata Checkpoint Bombing,3,0,32.377533,15.092017
5/22/2015,"Suicide Bombing in Shia mosque, Al-Qadeeh village ",AI-Qadeeh Bombing,21,90,26.574158,49.991428
5/26/2015,Kenyan police attack,Kenyan Police Attack,2,5,-0.443826,39.646697
5/28/2015, Cristal Grand Ishtar Hotel Bombing,Cristal Grand Ishtar Hotel Bombing,10,30,33.314301,44.419205
5/29/2015,Dammam Shia Mosque Bombing,Dammam Shia Mosque Bombing,4,,26.283333,50.2
6/1/2015,Iraq Police Station Suicide Attack,Iraq Police Station Attack,41,63,33.966667,43.183333
6/5/2015,Diyarbakır rally bombings,Diyarbakır Rally Bombings,4,100,37.913333,40.216944
6/13/2015,Iraq Police Station Attack,Iraq Police Station Attack,11,27,34.693861,43.641483
6/26/2015,Saint-Quentin-Fallavier attack,Saint-Quentin-Fallavier Attack,1,2,45.6428,5.125
6/26/2015,Kuwait mosque bombing,Kuwait Mosque Bombing,27,227,29.376601,47.976474
6/26/2015,Sousse attacks,Sousse Attacks,39,39,35.912089,10.580028
6/26/2015,Battle of Leego,Battle of Leego,70,27,2.7154,44.5128
6/29/2015,Shvut Rachel shooting,Shvut Rachel shooting,1,3,32.05,35.3
7/20/2015,Suruç bombing,Suruç Bombing,33,104,36.980556,38.425556
8/13/2015,Baghdad market truck bombing,Baghdad Market Truck Bombing,76,212,33.388889,44.458333
8/21/2015,Thalys train attack,Thalys Train Attack,0,4,50.465833,2.973889
9/17/2015,Bagdad Suicide Bombing,Bagdad Suicide Bombing,10,55,33.317919,44.356583
9/17/2015,Berlin Knife Attack,Berlin Knife Attack,1,1,52.516667,13.383333
9/24/2015," Sana'a Shia mosque Bombing, Yemen",Yemen Shia Mosque Bombing,25,12,15.381677,44.20303
9/29/2015,Italian aid worker killed in Bangladesh,Bangladesh Worker Killed,1,0,23.714399,90.429392
10/1/2015,Boko Haram Suicide Bombing in Nigeria,Nigeria Suicide Bombing,14,39,10.997511,10.661633
10/1/2015,West Bank terror attack. Parents killed with 4 children left in car.,West Bank Terror Attack,2,0,32.220278,35.278889
10/2/2015,Parramatta shooting,Parramatta Shooting,2,0,-33.815,151.001111
10/3/2015,Japanese killed in Bangladesh,Japanese killed in Bangladesh,1,0,23.714399,90.429392
10/3/2015,Bagdad Suicide Bombing,Bagdad Suicide Bombing,18,61,33.388889,44.458333
10/5/2015,Kabul Suicide Bombing,Kabul Suicide Bombing,2,3,34.5327,69.17163
10/7/2015,Liban Osman - nephew of Hassan Somalia's president - killed in Mogadishu,Osman in Somalia Killed,1,0,2.045818,45.320395
10/10/2015,Ankara bombings,Ankara Bombings,102,400,39.9364,32.8438
10/10/2015,Chad suicide bombings,Chad Suicide Bombings,38,51,13.654933,14.337903
10/11/2015,Kabul bombing targeting at British military convoy,Kabul Bombing,0,7,34.5327,69.17163
10/22/2015,"Boko Haram Attack in Borno, Nigeria",Borno Attack,20,0,11.725619,13.147754
10/31/2015,Metrojet Flight 9268,Metrojet Flight 9268,224,0,30.169169,34.172662
11/12/2015,Beirut bombings,Beirut Bombings,43,240,33.841722,35.505075
11/13/2015,Paris Attacks,Paris Attacks,136,352,48.8632,2.370616
